Order_ID,Customer_Name,Customer_Location,Restaurant_Name,Cuisine,Order_Date,Delivery_Time_Minutes,Order_Amount,Delivery_Partner,Payment_Method,Rating,Review_Text,Review_Date,Is_Discount_Applied,Restaurant_Location
ORD000025,Margaret Strong,Jonesfurt,Davis-Haynes,American,05-10-2023,84,1679.39,Partner C,Cash,1,Discussion should budget generation century already.,07-06-2024,FALSE,Jessicashire
ORD000026,Andrew Miller,South Nicholas,Brooks-Baker,Thai,12-12-2024,20,688.7,Partner C,Credit Card,2,Floor wrong consumer development much majority protect dog threat fly area.,21-11-2023,TRUE,South Jesse
ORD000027,Eric Williams,South Brianport,Reed PLC,Thai,05-01-2024,71,1602.44,Partner B,Debit Card,2,Medical staff commercial stuff finish all agreement fine beautiful situation.,30-03-2024,TRUE,Juliebury
ORD000028,Dustin Whitney,Lake Eric,Mccullough Group,Italian,03-01-2024,92,1218.84,Partner A,Debit Card,5,List little on sell officer leader more describe coach skill.,05-04-2023,TRUE,North Timothyview
ORD000029,Elizabeth Larsen,Monroeburgh,Sanchez-Brooks,Thai,13-07-2024,20,1596.59,Partner D,UPI,5,Military ago degree physical television close head herself technology.,17-12-2023,TRUE,Juliefort
ORD000030,Andrew Davis,East Sean,Young-Davis,Italian,13-12-2023,75,1817.74,Partner D,Credit Card,1,Growth out gas cost finish current southern arrive describe.,02-05-2024,TRUE,Lake Tiffanyfort
ORD000031,Lauren Vega,North Zachary,"Bentley, Harris and Smith",Mexican,08-04-2024,66,1275.34,Partner C,Debit Card,1,Media me cost organization about water.,21-11-2024,TRUE,South Brittany
ORD000032,Tina Stephens,Port Megan,Martinez Ltd,American,27-08-2023,118,1208.56,Partner A,Credit Card,4,Audience herself off speech fast treatment enough move near choose figure already benefit professional.,01-06-2024,TRUE,Tonyaview
ORD000033,Bryan Jackson,Lake Michaelfort,Williamson-Mcdonald,Italian,05-07-2024,105,896.42,Partner C,Credit Card,3,Which audience bad couple begin send dinner.,03-02-2023,TRUE,South Destinyport
ORD000034,Candice Sullivan,Jamesfurt,"Chen, Alvarez and White",American,05-12-2023,67,216.64,Partner B,Debit Card,4,Young spend far five almost same never really rule effort issue myself.,18-08-2024,FALSE,Michaelmouth
ORD000035,Adam Mills,West Jenniferville,Cummings LLC,Mexican,07-04-2024,67,134.14,Partner A,Credit Card,2,Suddenly rule current would performance single put brother dinner once.,22-04-2023,TRUE,South Timothyville
ORD000036,Kelly Ramirez,South Maryview,Garrett PLC,Thai,06-09-2024,70,1897.63,Partner A,UPI,4,Reason use lead business cold TV attack standard attack mission.,18-12-2023,TRUE,Lake Jessica
ORD000037,Christina Moran,Lake Cliffordberg,Francis-Kelly,Japanese,28-06-2024,68,787.6,Partner B,Cash,2,Ok major forget as sing leader strategy often.,25-04-2023,FALSE,Obrienbury
ORD000038,Kenneth Mann,South Ryan,Sheppard and Sons,Chinese,10-05-2023,100,249.54,Partner C,Net Banking,2,Nothing action level its seven always south country Mrs million.,20-06-2023,FALSE,Andersonland
ORD000039,Lee Morris,North Melissaborough,Edwards-Chambers,Chinese,08-03-2024,117,1235.33,Partner C,Cash,1,Brother light may we final PM college like information.,31-08-2024,FALSE,Cainchester
ORD000040,Joseph Drake,Spencershire,Snow Group,American,18-10-2024,100,142.6,Partner C,Credit Card,1,Report response child loss star instead environmental inside conference raise.,20-12-2024,FALSE,Sharonshire
ORD000041,Christopher Williams,Craighaven,Daniels-Andrews,Chinese,23-08-2024,102,379.24,Partner C,UPI,2,Might their ten by take foot.,16-06-2024,FALSE,Maciasmouth
ORD000042,Kathryn Stewart,Port Eugene,"Hansen, Singleton and Mcknight",Mexican,08-03-2024,10,1468.48,Partner B,Cash,2,Mention firm clearly break usually pull.,15-10-2023,TRUE,West Dorothyhaven
ORD000043,Sarah Knight,North Kelsey,Graham-Harris,Indian,02-09-2023,95,699.42,Partner C,Cash,2,Mother push blood run debate question other some.,16-01-2025,TRUE,East Oscar
ORD000044,Geoffrey Douglas,Lake Michaelland,Sanders and Sons,Italian,03-11-2024,92,1567.93,Partner B,UPI,1,Article TV fish year list decade effort even moment.,31-10-2023,FALSE,Adamtown
ORD000045,Katherine Freeman,Lake Bethany,Anderson-Sellers,Thai,11-04-2023,66,931.75,Partner A,Debit Card,5,How world number city much simply heart maintain matter sense house voice.,21-10-2023,FALSE,Cynthiaview
ORD000046,Tanner Jacobs,New Andrew,Olsen-Fox,Indian,12-12-2024,39,607.15,Partner B,Credit Card,5,Before anything sing arm everybody nature will kind light teach bed.,19-03-2024,FALSE,East Lisa
ORD000047,Jason Griffin,Allisonmouth,Martinez Ltd,Chinese,12-01-2025,11,1026.87,Partner D,Credit Card,2,Remain apply place hotel market evening point interview happy cost economy sister unit.,03-07-2023,TRUE,New Megan
ORD000048,Manuel Schmidt,East Michelle,Gonzalez Ltd,Italian,01-11-2024,109,453,Partner B,Credit Card,1,Reduce cause condition appear wait room ability camera spring.,04-09-2024,TRUE,Huffstad
ORD000049,Tara Johnson,North Stevenstad,Sherman and Sons,Chinese,14-10-2023,19,1458.36,Partner D,UPI,4,Parent else enough world store feel enough election ready hear station.,18-12-2024,FALSE,West Diana
ORD000050,Maxwell Williams,New Lisatown,Walters Ltd,American,28-06-2024,49,1474.84,Partner C,Net Banking,5,Bank down nearly hot station candidate.,15-08-2023,FALSE,Tammychester
ORD000051,Rhonda Schultz,Herringview,Dodson LLC,American,09-05-2024,63,1639.03,Partner D,Net Banking,3,Them apply before cup my act evidence available.,18-02-2023,FALSE,East Carrie
ORD000052,Anthony Sanchez,Nicoleport,Russell Ltd,Thai,10-06-2023,44,1238.31,Partner D,Credit Card,3,Cause adult concern summer whom why structure collection.,08-03-2024,FALSE,East Michael
ORD000053,Kristina Anderson,South Robertbury,Powell Inc,Chinese,18-02-2024,24,777.56,Partner A,Credit Card,1,Grow site top thank cut often hundred than nothing town great.,17-02-2024,TRUE,North Matthew
ORD000054,Andrew Johnson,South Anthony,"Lopez, Skinner and Flynn",Thai,14-10-2024,61,1637.93,Partner B,Credit Card,4,Population teach small on nation director center share Congress speech.,12-03-2023,TRUE,South Janetchester
ORD000055,Deborah Garcia,Jimmyfort,"Roberts, Bridges and Lawrence",Japanese,25-02-2023,104,1084.94,Partner B,Cash,5,Amount structure it teach must hair safe figure speech.,17-06-2023,TRUE,North Matthew
ORD000056,Katrina Romero,Bellshire,"Mcgee, Daniel and Miller",Indian,12-02-2024,67,303.95,Partner D,UPI,1,Who mean seat now top director stuff.,06-05-2023,FALSE,Deckerstad
ORD000057,Monique Yates,East Justinland,"Brown, Whitehead and Anderson",Chinese,23-10-2024,102,667.81,Partner D,Credit Card,1,Great peace rise research explain result news although bring ask whatever.,06-05-2024,TRUE,Port Michaelberg
ORD000058,Jason Tran,West Kelly,"Price, Montgomery and Wood",American,01-04-2023,73,606.15,Partner A,Debit Card,2,Those consider cell heavy final computer drop our attack science.,06-05-2023,FALSE,Fullerborough
ORD000059,Anita Curry,North Robert,Brown Ltd,Mexican,20-07-2023,18,572.82,Partner D,UPI,5,Sell quickly blood away too whatever business treatment film western Democrat look.,05-03-2023,FALSE,South Mitchellport
ORD000060,Samantha Lawson,Williamshaven,"Hill, Cruz and Dean",Mexican,10-06-2023,69,1269.11,Partner C,Credit Card,3,Enough research herself thousand above high local three green spend for.,23-04-2024,FALSE,Laceyborough
ORD000061,Julie Myers,South Deborahland,Rasmussen Ltd,Mexican,19-09-2023,104,1351.31,Partner D,UPI,2,Life usually water suddenly away Republican serve change decision yes single because live task.,24-07-2023,FALSE,South Robin
ORD000062,Brian Rodriguez,West Laura,Daniel-Juarez,Mexican,02-10-2024,21,800.33,Partner B,Debit Card,4,Since next finish eye mission theory soldier attorney issue.,14-06-2023,TRUE,Joyceside
ORD000063,Mary Palmer,Martinside,"Fletcher, Boyd and Castro",American,20-12-2023,104,576.35,Partner A,Credit Card,3,Plan truth me art avoid occur cup boy participant.,16-08-2023,TRUE,Port Ronaldmouth
ORD000064,Pamela Hayes,Lake Howardfort,Ramirez-Miller,Mexican,15-11-2024,73,964.82,Partner B,UPI,3,Among my myself agency child sure.,28-12-2024,FALSE,West Carolineville
ORD000065,David Allen,East Jacob,Crawford-Salazar,Italian,05-09-2024,19,1811.45,Partner A,Net Banking,2,Likely while free source through main shake.,14-07-2023,TRUE,Kingshire
ORD000066,Jamie Sparks,Lake Joe,Mann Group,American,06-02-2024,76,183.79,Partner A,Net Banking,2,Although full go three pass same book positive camera begin their recognize man.,15-10-2023,TRUE,Port Michaelhaven
ORD000067,Todd Young,Shepherdberg,Heath-Peters,Italian,13-01-2025,36,765.9,Partner D,Net Banking,2,Receive like much gas from kid action type almost relationship have.,10-02-2023,TRUE,East Roger
ORD000068,Debra Moore,Connorshire,Allen-Jackson,Indian,01-04-2024,69,1051.68,Partner C,Cash,3,Early wait girl thank chance soon life pull alone.,31-05-2024,FALSE,Millerberg
ORD000069,Karen Howard,Petersenland,Johnson PLC,Indian,05-09-2023,14,790.48,Partner B,UPI,2,Stand too field war force door among body factor voice.,04-05-2023,FALSE,Campbellchester
ORD000070,Gregory Newman,Matthewsberg,Watson-Cameron,Chinese,21-01-2023,103,1517.7,Partner C,Cash,1,Rest support number present soldier night control conference who.,03-07-2023,FALSE,Lauratown
ORD000071,Juan Cummings,New John,Hudson-Davis,American,22-03-2023,89,162.72,Partner D,Net Banking,2,Throw every short heart raise throw medical.,07-03-2024,TRUE,Lake Heather
ORD000072,Clarence Peterson,North Darlenechester,Ayers-Wall,American,22-05-2024,114,1550.77,Partner A,Credit Card,4,Wide democratic perhaps large discover civil on style miss order debate owner.,17-04-2023,TRUE,Wagnertown
ORD000073,Laurie Gallegos,Sherrichester,Taylor and Sons,Thai,03-09-2024,25,1710.65,Partner C,Cash,1,None our role ground ago special image together door hour response family continue.,18-04-2023,TRUE,Jeanchester
ORD000074,Mark Hall,West Wendyland,Bell-Murphy,American,15-02-2024,64,142.61,Partner B,Cash,4,Sure class purpose let particularly population.,22-06-2024,TRUE,Port Evan
ORD000075,David Garrett,New Debraborough,"Roach, Miller and Madden",Chinese,15-11-2024,100,1718.36,Partner C,UPI,3,Budget fast real wear risk compare some sign.,24-06-2024,TRUE,Chavezshire
ORD000076,Christine Jones,Perezstad,"Jackson, Barnett and Williams",Chinese,06-08-2023,25,1716.46,Partner B,Cash,3,Art including exactly report mention them use must.,13-02-2023,FALSE,Cannonfort
ORD000077,Jessica Martinez,Thomasshire,Beltran-Burch,Italian,31-05-2023,114,1393.05,Partner C,Net Banking,3,I land agreement measure camera away art or old policy southern.,27-08-2023,TRUE,Willistown
ORD000078,Maria Dean,Lake Jessicaland,Matthews-Anderson,Thai,14-05-2023,111,1676.23,Partner C,Credit Card,3,Kind available could wife not cost race.,28-10-2024,TRUE,Georgeport
ORD000079,Joshua Murphy,Amyport,Jordan-Jackson,Italian,04-01-2025,12,1555.29,Partner C,Debit Card,4,Nature sit trade look Democrat around special point news stop high radio per.,08-07-2023,FALSE,East Brian
ORD000080,Kathryn Hamilton,West Davidborough,Wells-Robinson,American,30-06-2023,89,641.23,Partner B,Net Banking,5,Green front sign collection your economy memory ten two might story close hundred.,11-10-2023,TRUE,Johnsonborough
ORD000081,Chris Taylor,West Cindy,Forbes-Humphrey,Mexican,11-09-2023,30,314.74,Partner A,Cash,3,Happy expert example time skill traditional big only decade focus off hand.,15-11-2023,FALSE,New Jameschester
ORD000082,Richard Murray,Angelastad,Fisher-Brooks,Mexican,24-07-2023,103,529.29,Partner A,Cash,1,Rich direction increase suffer economic attorney your line audience account certainly civil.,21-03-2023,TRUE,Port Sarahview
ORD000083,Edward Johnson,East Christophertown,"Walker, Dominguez and Decker",Chinese,05-02-2024,104,1951.29,Partner D,Debit Card,3,Might government lose design the town method less whole.,09-04-2023,FALSE,Lake Donald
ORD000084,Christina Peterson,Angelshire,Blair-Gonzalez,Chinese,15-08-2024,30,717.86,Partner D,Cash,2,Visit which its public support street kitchen send million.,23-04-2023,TRUE,East Timothy
ORD000085,John Harris,Ashleyfurt,"Ramos, Walker and Espinoza",Mexican,30-05-2023,20,841.94,Partner C,UPI,2,See happen husband mission age health sort I open major.,22-01-2024,FALSE,Melissamouth
ORD000086,Aaron Wilson,Lake Stevenshire,Powell PLC,Indian,21-09-2024,84,390.03,Partner C,Credit Card,2,Common so fast project time campaign artist remember door.,09-07-2024,TRUE,Jessicashire
ORD000087,Alexandra Conner,West Michelle,"White, Jones and Lee",Japanese,22-06-2024,98,766.06,Partner B,UPI,5,Huge produce beat attorney reduce reduce.,27-06-2024,TRUE,East Andrew
ORD000088,Michele Marshall,Hudsonmouth,Johnson PLC,Thai,12-06-2024,47,1338.18,Partner B,Net Banking,1,Series production sound door per hundred chair large different happy outside world.,24-10-2023,FALSE,Sparkston
ORD000089,Brandon Morales,South Brandyfurt,Jarvis-Mack,Japanese,13-06-2024,51,207,Partner C,UPI,5,Own you view develop woman through father simple.,30-06-2024,TRUE,East Kimberly
ORD000090,Joseph Mcdonald,Myersstad,Gregory PLC,Japanese,17-06-2024,42,832.87,Partner C,Debit Card,4,Carry plan enough choice lead different story notice a.,16-11-2023,FALSE,Lake Dale
ORD000091,Stephen Larsen,Butlerview,Vaughn and Sons,Thai,17-08-2023,113,1700.84,Partner B,Credit Card,2,Bank strategy meeting above ever check identify price hot charge.,04-09-2023,FALSE,New Jenny
ORD000092,Melissa Collier,Alexandriamouth,Miller-Coleman,Italian,14-09-2023,36,1535.02,Partner D,Credit Card,4,Recently collection animal general follow fund.,27-08-2024,FALSE,East Christopherport
ORD000093,Matthew Jackson,East Aaronland,"Sims, Rogers and Brewer",Italian,01-12-2023,108,1461.62,Partner A,Net Banking,1,Item create to experience every player.,27-07-2023,TRUE,Monicaside
ORD000094,Justin Johns DDS,Millertown,"Cox, Webster and Young",Chinese,02-02-2024,73,580.48,Partner A,Cash,3,Expert skin summer music their owner indeed responsibility office chance.,31-12-2023,FALSE,Lake Stephenshire
ORD000095,Teresa Young,Port Michael,"Long, Lee and Clark",American,12-08-2023,10,1730.42,Partner D,Net Banking,3,Speak rather course always gun despite subject drive floor.,04-06-2023,FALSE,Jennifermouth
ORD000096,Kevin Weaver,Frederickmouth,Nguyen Inc,Mexican,04-09-2024,86,419.3,Partner A,Credit Card,4,Pass enjoy job rather nice thousand increase card discuss social someone.,19-12-2024,TRUE,Clarkhaven
ORD000097,Mrs. Michelle Hickman,Mckenzieland,"Strong, Miller and Hunter",Thai,05-03-2024,81,1041.41,Partner D,UPI,5,Focus yard house get buy major senior decide between yet wind your.,06-04-2023,TRUE,Montgomeryland
ORD000098,Cynthia Miller,West Pamela,Proctor-Oneill,Italian,10-12-2023,88,909.89,Partner A,Cash,2,Game sell mouth executive method attention evidence light man.,06-05-2023,TRUE,Barnesbury
ORD000099,David Herrera,Wardton,"Banks, Burch and Wilson",Indian,08-09-2023,107,1150.89,Partner B,UPI,1,Education his maybe list they stop bill truth begin federal run west.,08-11-2023,TRUE,Whitneyburgh
ORD000100,Stephen Alexander,East Rubenview,Smith Group,Thai,23-07-2023,85,1355.15,Partner D,Credit Card,2,Anyone remain husband win commercial central thus image authority bring yard worry.,15-03-2023,FALSE,East Christopherfort
ORD000101,Gail Travis,South Meganbury,Lawson-Moon,Mexican,13-07-2024,97,1443.55,Partner B,Credit Card,4,Then must I hotel look company.,14-05-2023,FALSE,North Christinastad
ORD000102,Colton White,West Melaniemouth,Taylor Inc,Japanese,06-01-2024,52,687.88,Partner C,Debit Card,1,Along government bed how growth color.,27-10-2023,FALSE,New Adammouth
ORD000103,Matthew Johnson,New Jennifer,Nelson Group,Indian,11-12-2023,107,347.26,Partner A,Credit Card,4,Low pull explain report inside full take life collection news beyond always prepare.,01-04-2024,TRUE,North Williamshire
ORD000104,Donald Lee,South Michaelfort,"Chan, Chavez and Jackson",American,08-10-2023,72,673.26,Partner D,Credit Card,1,Develop mother know current fill drop able hotel answer make thought.,12-08-2023,FALSE,Thomasview
ORD000105,Jennifer Miller,New Andrewberg,Cisneros Group,Japanese,09-08-2023,73,984.91,Partner D,Cash,5,Win same amount pick travel suffer.,26-12-2023,TRUE,New Kathleenstad
ORD000106,Charles Murray,Kleinton,Walker LLC,American,02-01-2024,113,1829.04,Partner C,Debit Card,2,Name free street good still responsibility my question out special subject need.,22-11-2024,TRUE,New Collin
ORD000107,Frank Miller,Vincentview,Dixon-Randall,Thai,31-03-2023,84,497.5,Partner C,Debit Card,4,Recognize skin onto time simply gas shoulder generation inside she research development.,08-09-2023,TRUE,Lake Samuelland
ORD000108,Benjamin Smith,North Raymond,Taylor and Sons,Indian,12-06-2023,48,358.77,Partner A,Credit Card,2,Follow matter cold paper memory factor general project.,10-05-2024,TRUE,New Ryantown
ORD000109,Adam Robertson,West Jenniferton,Taylor-Morrison,Chinese,03-09-2024,83,879.14,Partner C,Net Banking,1,Start real issue financial realize part food election left news bring effort visit.,24-10-2023,TRUE,Robertfurt
ORD000110,Gwendolyn Smith,Garciabury,Jones and Sons,Japanese,12-12-2023,18,940.32,Partner B,UPI,4,Identify total rich prove everybody serve respond wall heart much.,17-05-2023,TRUE,East Breannaview
ORD000111,Steven Brooks,Kingberg,Harris-Wise,Italian,26-12-2024,18,954,Partner A,UPI,5,Better enjoy current suddenly police all.,04-03-2023,TRUE,Port Justinshire
ORD000112,Adam Harrison,Barbarachester,Griffith Inc,Indian,07-07-2024,94,1453.84,Partner C,Credit Card,1,Institution south dog kitchen language focus even.,08-08-2023,FALSE,Gibsonfort
ORD000113,Nicole Cantrell,Walkertown,King Inc,Indian,02-11-2024,45,1614.24,Partner B,Debit Card,3,Along I lose perform less stay movement animal administration.,24-09-2024,FALSE,Port Elizabeth
ORD000114,Ryan Young,West Samuel,Poole-Williams,Thai,27-10-2023,68,1434.5,Partner D,UPI,5,Choice throw need authority subject finish.,10-09-2023,FALSE,West Wayne
ORD000115,Nicole Edwards,Port James,Barnes Group,Chinese,26-05-2024,36,278.67,Partner A,Cash,5,Evening my dinner analysis result fly.,29-12-2024,FALSE,Hicksside
ORD000116,John Young,East Andreatown,"Villarreal, Lawson and Brewer",Mexican,18-07-2024,113,1751.99,Partner D,Cash,3,First throw short team base office tonight bill brother wind call few.,22-08-2024,TRUE,Troyville
ORD000117,Calvin Johns,East Victoriaport,Smith and Sons,Indian,28-04-2024,82,1022.8,Partner A,Debit Card,5,Level field song parent western star half security beat hold.,25-11-2024,TRUE,Lake Kelsey
ORD000118,Sarah Escobar,Lake Dianemouth,Diaz-Wilcox,American,01-06-2023,34,329.91,Partner C,Net Banking,4,Process important provide car ago series investment major name approach talk surface.,27-02-2024,FALSE,Port Jonathanburgh
ORD000119,Bryce Hunter,Barneshaven,Reed Ltd,Italian,08-12-2023,12,1929.69,Partner D,Net Banking,4,Reduce conference no sound responsibility with size law human buy outside president meet.,28-05-2024,TRUE,North Melissa
ORD000120,Kathleen Park DDS,North Jocelyn,Clark LLC,Indian,10-07-2023,72,1814.98,Partner D,UPI,1,Staff history boy candidate take computer.,09-10-2024,TRUE,Jamesville
ORD000121,Carla Larson,South Shannonstad,Watson-Stewart,American,11-10-2024,47,1155.1,Partner B,Debit Card,4,Budget condition responsibility also ahead reality PM tough film though mission military arm.,13-04-2024,TRUE,Greenport
ORD000122,Terry Dean,Michaelchester,"Ward, Daniels and Gray",Chinese,08-11-2023,105,845.05,Partner A,UPI,1,Natural note base medical example decision senior.,20-06-2023,FALSE,Mercerview
ORD000123,Allison Brown,Horneborough,"Hughes, Brown and Burnett",Mexican,09-07-2023,22,672.68,Partner D,Cash,3,Camera three yard toward accept eat professional listen make green each small.,16-04-2024,FALSE,Littlemouth
ORD000124,Ryan Greene,Lake Ashleyburgh,"Adams, Davis and Lara",Italian,26-12-2023,98,1748.52,Partner D,Cash,2,Green whether rock behavior who morning prove.,22-06-2024,FALSE,West Theresa
ORD000125,Brandi Sanchez,Nashbury,Soto-Garcia,Mexican,17-03-2024,83,741.64,Partner B,Credit Card,1,Big build here early win toward thought address education PM.,30-05-2023,FALSE,Robertston
ORD000126,Andrew Patterson,Thomasville,Mendoza Ltd,Indian,16-06-2023,78,1096.74,Partner B,Cash,3,Experience television be science indeed image student today sure author face various song.,13-05-2024,FALSE,Brownshire
ORD000127,James Fernandez,New Jessicabury,Lyons LLC,Italian,01-04-2024,101,772.83,Partner A,Cash,3,Stock discover detail plant score safe heavy health.,31-08-2024,TRUE,Josephchester
ORD000128,Jacob Cooley,Lisahaven,Curry and Sons,American,18-07-2024,28,1950.3,Partner C,UPI,4,Choice happen clear particular tonight since.,12-03-2024,FALSE,Lake Jasonchester
ORD000129,Donald Black,Lake Ianhaven,"Mcintosh, Johnson and Rodriguez",American,25-06-2023,43,731.66,Partner A,Cash,1,Affect officer president experience former simply official look boy field.,05-07-2024,FALSE,Rachelview
ORD000130,Courtney George,Lake Roseberg,Reed PLC,American,20-02-2024,73,948.92,Partner A,Credit Card,3,Woman direction happy keep least game but create public also those leave your.,27-04-2024,TRUE,Jonesshire
ORD000131,Francisco Pratt,Armstrongside,"Cunningham, Barrett and Jones",Thai,28-07-2024,58,1164.3,Partner C,Cash,2,Country establish bring yard wonder physical scientist present foot consumer whether grow.,16-12-2024,FALSE,Whitetown
ORD000132,Isaiah Santana,Robertborough,Pineda Group,Japanese,30-10-2024,26,927.86,Partner A,Debit Card,3,Tree hand site close course throughout candidate peace yard indicate run.,01-07-2024,FALSE,Cameronland
ORD000133,Eduardo Fisher,Lisaport,Nelson Inc,Mexican,09-10-2024,79,601.34,Partner B,Net Banking,1,Truth minute tend compare respond along build quickly house summer southern only.,19-05-2024,FALSE,Davidmouth
ORD000134,Laurie Jacobson,South Zacharyton,"Jackson, Leonard and Berry",Chinese,24-04-2024,90,952.68,Partner A,Debit Card,3,Either performance off huge travel laugh show tend.,17-07-2024,TRUE,Laurenton
ORD000135,Melissa Fitzgerald,South Christopher,Owens LLC,Mexican,24-01-2023,10,909.02,Partner B,Credit Card,2,Single effect certain project exactly again collection.,30-05-2023,TRUE,Carlsonville
ORD000136,Christian Schmidt,New Barbaramouth,"Delgado, Dunn and Blair",Chinese,11-09-2024,32,1130.62,Partner D,Credit Card,5,Rock democratic memory write will day cold capital.,16-10-2024,TRUE,Powersfort
ORD000137,Jonathan Ritter,Garciaberg,Smith-Sutton,Thai,24-01-2024,29,964.32,Partner C,Net Banking,3,Pressure against its mean serve specific along worry tough save.,20-01-2024,FALSE,Bennettville
ORD000138,Samuel Brown,Williamburgh,Novak Group,Chinese,24-07-2023,93,371.45,Partner C,Net Banking,4,Finish mouth a country buy no town market perform rule.,06-01-2024,FALSE,Mitchellville
